City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
89,Chifeng,CN,2021-04-02 16:49:22,42.2683,118.9636,43.48,23,100,15.7
90,Henties Bay,NA,2021-04-02 16:49:22,-22.116,14.2845,68.0,80,8,8.99
91,Beringovskiy,RU,2021-04-02 16:49:23,63.05,179.3167,11.41,87,97,16.06
92,Cabedelo,BR,2021-04-02 16:49:23,-6.9811,-34.8339,89.6,55,0,11.5
93,Pasni,PK,2021-04-02 16:49:23,25.2631,63.471,81.91,54,0,11.77
94,Rocha,UY,2021-04-02 16:49:24,-34.4833,-54.3333,71.78,61,22,10.49
95,Souillac,MU,2021-04-02 16:49:24,-20.5167,57.5167,78.8,94,40,8.05
96,Hadejia,NG,2021-04-02 16:49:25,12.4498,10.0444,90.91,7,9,11.83
97,Hermanus,ZA,2021-04-02 16:49:25,-34.4187,19.2345,64.99,67,70,4.0
98,Severnyy,RU,2021-04-02 16:49:25,50.677,36.5532,55.4,44,0,6.71
99,Ambilobe,MG,2021-04-02 16:49:26,-13.2,49.05,75.52,85,20,3.91
100,Orlovskiy,RU,2021-04-02 16:49:26,46.8714,42.0592,52.07,57,95,5.91
101,Tura,IN,2021-04-02 16:49:26,25.5198,90.2201,73.56,16,0,5.44
102,Lebu,CL,2021-04-02 16:48:09,-37.6167,-73.65,59.9,79,40,15.21
103,Nikolskoye,RU,2021-04-02 16:49:27,59.7035,30.7861,39.0,75,40,6.71
104,Namatanai,PG,2021-04-02 16:49:27,-3.6667,152.4333,80.62,78,99,5.57
105,Hilo,US,2021-04-02 16:46:47,19.7297,-155.09,66.2,82,1,5.75
106,Batagay-Alyta,RU,2021-04-02 16:49:28,67.8006,130.4114,-2.87,98,100,5.88
107,Pisco,PE,2021-04-02 16:49:28,-13.7,-76.2167,75.99,68,22,8.05
108,Arbagar,RU,2021-04-02 16:49:29,51.9438,116.2805,25.68,49,1,6.44
109,Arraial Do Cabo,BR,2021-04-02 16:49:29,-22.9661,-42.0278,82.4,61,20,17.27
